Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
attHamonRank1Desc,attributes,Attribute,New,Beginner,,,,,
attHamonRank2Desc,attributes,Attribute,New,Student,,,,,
attHamonRank3Desc,attributes,Attribute,New,Acolyte,,,,,
attHamonRank4Desc,attributes,Attribute,New,Test,,,,,
attHamonRank5Desc,attributes,Attribute,New,Test,,,,,
attHamonRank6Desc,attributes,Attribute,New,Test,,,,,
attHamonRank7Desc,attributes,Attribute,New,Teacher,,,,,
attHamonRank8Desc,attributes,Attribute,New,Learned,,,,,
attHamonRank9Desc,attributes,Attribute,New,Master,,,,,
attHamonRank10Desc,attributes,Attribute,New,Legend,,,,,
perkHamonBurstRank1Desc,attributes,Attribute,New,Legend,,,,,
perkHamonBurstRank2Desc,attributes,Attribute,New,Legend,,,,,
perkHamonBurstRank3Desc,attributes,Attribute,New,Legend,,,,,
perkHamonBurstRank4Desc,attributes,Attribute,New,Legend,,,,,
perkHamonBurstRank5Desc,attributes,Attribute,New,Legend,,,,,
perkHamonBarrageRank1Desc,attributes,Attribute,New,Legend,,,,,
perkHamonBarrageRank2Desc,attributes,Attribute,New,Legend,,,,,
perkHamonBarrageRank3Desc,attributes,Attribute,New,Legend,,,,,
perkHamonBarrageRank4Desc,attributes,Attribute,New,Legend,,,,,
perkHamonBarrageRank5Desc,attributes,Attribute,New,Legend,,,,,
perkHamonBreathReleaseTimingRank1Desc,attributes,Attribute,New,Legend,,,,,
perkHamonBreathReleaseTimingRank2Desc,attributes,Attribute,New,Legend,,,,,
perkHamonBreathReleaseTimingRank3Desc,attributes,Attribute,New,Legend,,,,,
perkHamonBreathReleaseTimingRank4Desc,attributes,Attribute,New,Legend,,,,,
perkHamonBreathReleaseTimingRank5Desc,attributes,Attribute,New,Legend,,,,,
perkHamonRapidBreathingRank1Desc,attributes,Attribute,New,Legend,,,,,
perkHamonRapidBreathingRank2Desc,attributes,Attribute,New,Legend,,,,,
perkHamonRapidBreathingRank3Desc,attributes,Attribute,New,Legend,,,,,
perkHamonRapidBreathingRank4Desc,attributes,Attribute,New,Legend,,,,,
perkHamonRapidBreathingRank5Desc,attributes,Attribute,New,Legend,,,,,
perkHamonZoomPunchRank1Desc,attributes,Attribute,New,Legend,,,,,
perkHamonZoomPunchRank2Desc,attributes,Attribute,New,Legend,,,,,
perkHamonZoomPunchRank3Desc,attributes,Attribute,New,Legend,,,,,
perkHamonZoomPunchRank4Desc,attributes,Attribute,New,Legend,,,,,
perkHamonZoomPunchRank5Desc,attributes,Attribute,New,Legend,,,,,
perkHamonSunlightYellowOverdriveRank1Desc,attributes,Attribute,New,Legend,,,,,
perkHamonSunlightYellowOverdriveRank2Desc,attributes,Attribute,New,Legend,,,,,
perkHamonStoneGreyOverdriveRank1Desc,attributes,Attribute,New,Legend,,,,,
perkHamonForcedBreathingRank1Desc,attributes,Attribute,New,Legend,,,,,
